Namespace(a_lambda=0.0001, abit=4, alpha_init=10.0, batch_size=128, clp=True, data_path='./dataset/', dataset='cifar10', epochs=200, evaluate=False, fine_tune=False, gammas=[0.5, 0.1], k=2, log_file='vgg7_quant_w4_a4_modedorefa_wd1e-4.log', lr=0.05, lr_decay='step', model='vgg7_quant', momentum=0.9, ngpu=1, print_freq=1, q_mode='dorefa', resume='', save_path='./save/vgg7_quant/vgg7_quant_w4_a4_mode_dorefa_wd1e-4/', schedule=[60, 120], use_cuda=True, wbit=4, weight_decay=0.0001, workers=16)
==> Building model..

VGG_quant(
  (features): Sequential(
    (0): QConv2d(
      3, 128, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False, wbit=4, abit=4
      (weight_quant): WQ()
      (act_quant): AQ()
    )
    (1): BatchNorm2d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (2): ReLU(inplace=True)
    (3): QConv2d(
      128, 128, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False, wbit=4, abit=4
      (weight_quant): WQ()
      (act_quant): AQ()
    )
    (4): BatchNorm2d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (5): ReLU(inplace=True)
    (6): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
    (7): QConv2d(
      128, 256, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False, wbit=4, abit=4
      (weight_quant): WQ()
      (act_quant): AQ()
    )
    (8): BatchNorm2d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (9): ReLU(inplace=True)
    (10): QConv2d(
      256, 256, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False, wbit=4, abit=4
      (weight_quant): WQ()
      (act_quant): AQ()
    )
    (11): BatchNorm2d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (12): ReLU(inplace=True)
    (13): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
    (14): QConv2d(
      256, 512, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False, wbit=4, abit=4
      (weight_quant): WQ()
      (act_quant): AQ()
    )
    (15): BatchNorm2d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (16): ReLU(inplace=True)
    (17): QConv2d(
      512, 512, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False, wbit=4, abit=4
      (weight_quant): WQ()
      (act_quant): AQ()
    )
    (18): BatchNorm2d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (19): ReLU(inplace=True)
    (20): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
  )
  (classifier): Sequential(
    (0): QLinear(
      in_features=8192, out_features=1024, bias=True, wbit=4, abit=4
      (weight_quant): WQ()
      (act_quant): AQ()
    )
    (1): BatchNorm1d(1024, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (2): ReLU(inplace=True)
    (3): QLinear(
      in_features=1024, out_features=10, bias=True, wbit=4, abit=4
      (weight_quant): WQ()
      (act_quant): AQ()
    )
  )
)
----  --------  ---------  --------  ---------  ---------  --------  ----------
  ep        lr    tr_loss    tr_acc    tr_time    te_loss    te_acc    best_acc
----  --------  ---------  --------  ---------  ---------  --------  ----------
   1    0.0500     3.3611   31.5000    17.6100     1.5582   43.0100     43.0100
   2    0.0500     1.6498   43.0920    17.5557     1.4106   49.0100     49.0100
   3    0.0500     1.4616   50.1940    17.5406     1.2195   56.4700     56.4700
   4    0.0500     1.3043   56.0440    17.6221     1.1792   59.0900     59.0900
   5    0.0500     1.1779   60.6820    17.7225     1.0207   64.6800     64.6800
   6    0.0500     1.0832   64.2960    17.6518     1.0059   65.6700     65.6700
   7    0.0500     0.9843   67.7240    17.7412     0.8934   68.5800     68.5800
   8    0.0500     0.9061   70.3460    17.7908     0.7961   72.2800     72.2800
   9    0.0500     0.8406   72.6780    17.7008     0.7347   74.6700     74.6700
  10    0.0500     0.7754   74.8920    17.8221     0.6883   76.0400     76.0400
  11    0.0500     0.7272   76.3160    17.9405     0.6589   77.8200     77.8200
  12    0.0500     0.6789   78.0100    17.8331     0.6559   77.4300     77.8200
  13    0.0500     0.6317   79.4560    18.1433     0.5976   79.7300     79.7300
  14    0.0500     0.5995   80.6760    17.9958     0.5963   79.4700     79.7300
  15    0.0500     0.5646   81.8900    18.1854     0.5869   80.4700     80.4700
  16    0.0500     0.5348   82.6260    18.0039     0.5828   80.3500     80.4700
  17    0.0500     0.5075   83.6360    18.0727     0.5250   82.5100     82.5100
  18    0.0500     0.4826   84.4540    18.2057     0.5020   83.2700     83.2700
  19    0.0500     0.4619   85.2040    18.1986     0.5046   83.5100     83.5100
  20    0.0500     0.4369   85.9640    18.2375     0.4834   84.0400     84.0400
  21    0.0500     0.4227   86.3240    18.1554     0.5829   81.7600     84.0400
  22    0.0500     0.4061   86.8620    18.1841     0.5116   83.3200     84.0400
  23    0.0500     0.3844   87.5140    18.2356     0.4812   84.3200     84.3200
  24    0.0500     0.3715   87.9540    18.2101     0.5336   82.3400     84.3200
  25    0.0500     0.3523   88.5980    18.4159     0.4660   84.8200     84.8200
  26    0.0500     0.3393   89.0500    18.4649     0.4583   85.4500     85.4500
  27    0.0500     0.3180   89.7960    18.2826     0.4496   85.4500     85.4500
  28    0.0500     0.3087   89.9480    18.3292     0.4620   84.5500     85.4500
  29    0.0500     0.2981   90.3760    18.3381     0.4955   84.5700     85.4500
  30    0.0500     0.2887   90.6660    18.3543     0.5287   83.5500     85.4500
  31    0.0500     0.2671   91.4740    18.4126     0.4709   85.5900     85.5900
  32    0.0500     0.2592   91.6220    18.5761     0.4275   86.2700     86.2700
  33    0.0500     0.2540   91.7880    18.5694     0.4266   86.5800     86.5800
  34    0.0500     0.2424   92.1440    18.3320     0.4341   86.4100     86.5800
  35    0.0500     0.2416   92.1080    18.4346     0.5950   83.2300     86.5800
  36    0.0500     0.2280   92.5880    18.4436     0.4461   86.5000     86.5800
  37    0.0500     0.2150   92.9460    18.4577     0.4456   86.5300     86.5800
  38    0.0500     0.2124   93.1100    18.3656     0.4663   86.3600     86.5800
  39    0.0500     0.2026   93.3900    18.4746     0.4449   87.1100     87.1100
  40    0.0500     0.1920   93.7420    18.5544     0.4433   87.2200     87.2200
